code,label
01023310,Aircraft — Aircraft systems — Lighting system — Flight compartment lighting
01023320,Aircraft — Aircraft systems — Lighting system — Passenger compartment lighting
01023330,Aircraft — Aircraft systems — Lighting system — Cargo compartment lighting
01023340,Aircraft — Aircraft systems — Lighting system — Exterior lighting
01023350,Aircraft — Aircraft systems — Lighting system — Emergency lighting
01023397,Aircraft — Aircraft systems — Lighting system — Light wiring
01023400,Aircraft — Aircraft systems — Navigation system — (general)
01023410,Aircraft — Aircraft systems — Navigation system — Flight environment data
01023411,Aircraft — Aircraft systems — Navigation system — Pitot/static system
01023412,Aircraft — Aircraft systems — Navigation system — Air temperature/thrust limit
01023413,Aircraft — Aircraft systems — Navigation system — Rate of climb
01023414,Aircraft — Aircraft systems — Navigation system — Airspeed/mach indicating
01023415,Aircraft — Aircraft systems — Navigation system — High speed warning
01023416,"Aircraft — Aircraft systems — Navigation system — Altimeter, barometric/encoder"
01023417,Aircraft — Aircraft systems — Navigation system — Air data computer
01023418,Aircraft — Aircraft systems — Navigation system — Stall warning system
01023420,Aircraft — Aircraft systems — Navigation system — Attitude & direction
01023421,Aircraft — Aircraft systems — Navigation system — Attitude gyro & indication
01023422,Aircraft — Aircraft systems — Navigation system — Directional gyro & indication
01023423,Aircraft — Aircraft systems — Navigation system — Magnetic compass
01023424,Aircraft — Aircraft systems — Navigation system — Turn and bank/rate of turn
01023425,Aircraft — Aircraft systems — Navigation system — Integrated flight director sys
01023430,Aircraft — Aircraft systems — Navigation system — Landing and taxi aids
01023431,Aircraft — Aircraft systems — Navigation system — Localizer/VOR system
01023432,Aircraft — Aircraft systems — Navigation system — Glide slope system
01023433,Aircraft — Aircraft systems — Navigation system — Microwave landing system
01023434,Aircraft — Aircraft systems — Navigation system — Marker beacon system
01023435,Aircraft — Aircraft systems — Navigation system — Heads up display system
01023436,Aircraft — Aircraft systems — Navigation system — Wind shear detection system
01023440,Aircraft — Aircraft systems — Navigation system — Indep position determining sys
01023441,Aircraft — Aircraft systems — Navigation system — Inertial guidance system
01023442,Aircraft — Aircraft systems — Navigation system — Weather radar system
01023443,Aircraft — Aircraft systems — Navigation system — Doppler system
01023444,Aircraft — Aircraft systems — Navigation system — Ground proximity system
01023445,Aircraft — Aircraft systems — Navigation system — Air collision avoidance (TCAS)
01023446,Aircraft — Aircraft systems — Navigation system — Non radar weather system
01023450,Aircraft — Aircraft systems — Navigation system — Dependent position determining
01023451,Aircraft — Aircraft systems — Navigation system — DME/TACAN system
